d1,d2,d3,d4,d5,d6,x,y,z,std_x,std_y,std_z,jitter
-0.18454939660106645,-0.1206617882883208,-0.21731500443798007,-0.013762339630360498,-0.07575615185680329,-0.49857597991152297,-0.2767604161620071,-0.5366848555354046,1.2472524371664548,0.006509825266991911,0.003917057396770515,0.002461784853268533,6.378154832014327e-05
-0.054149776174463926,-0.48253550084115854,-0.12057916785642908,-0.4086590772866693,-0.05114696037805894,-0.2184401654704723,-0.18584116674489912,-0.47988530921449146,0.8075995406523139,0.0009761846154411892,6.08923206399871e-05,0.00036643983543120455,1.0909224311278337e-06
-0.16877992259284375,-0.35971090884278745,-0.4786937675531788,-0.49140562952516487,-0.07709947561585834,-0.025367099815584715,-0.08289483323586011,-0.5336912255967672,0.9259462697098153,0.0006448394738271925,0.0003533681329622921,0.0002273805170391236,5.923888839279658e-07
-0.3441498169205599,-0.2802026449772176,-0.48527377100435926,-0.43537269622022673,-0.15127530435931225,-0.16346145398138995,-0.16980568499944254,-0.4523385571498619,1.0037157588933125,0.001963579436046565,0.0006434368478259566,0.0008841372627153727,5.051353878126982e-06
-0.179999742029748,-0.30048767178382063,0.018549166610389745,0.010034376163639669,-0.14351816807003875,-0.1617611763407355,-0.07316325421683202,-0.5191159541454768,0.8393855246037533,0.00021239693839796974,8.143284519769463e-05,1.3853491319189847e-05,5.1935686939553524e-08
-0.24736561340746965,-0.037466326138519856,-0.014297371702750139,-0.31394649771128347,-0.2028044880205243,-0.33262791664051006,-0.31493448268926477,-0.3979511537471423,0.7999335995203452,0.002849404028457151,0.0010954793261143383,0.007737186720598888,6.91832366207435e-05
-0.14200770010311115,-0.29776085953086606,-0.42974981738834617,-0.12482606309907751,-0.22681575231262252,-0.33867422470934305,-0.04639828411760412,-0.5762220770282988,1.02990957577635,0.0010914241370838526,0.0043273820598095725,0.0005858787694898133,2.026069607110986e-05
-0.19096398429615763,-0.32428616273629074,-0.29635811972535614,-0.03705733695750796,-0.3818780513626425,-0.17594268476325792,0.015050219690566743,-0.39090250953998756,0.7585538012132403,0.0001622062452410029,0.0006302903574414076,0.0006025000819475523,7.865831494256088e-07
-0.45631202133715987,-0.06702504322023312,-0.09070888010588463,-0.3755278896436649,-0.044228199978434024,-0.4695446219012989,-0.2731652301959703,-0.622295818017449,0.9064696801598588,1.7044801833003726e-05,0.0003604734277713351,0.00021473280352272777,1.7634179430747264e-07
-0.32521912851625656,-0.42185467721468367,-0.26582352934237075,-0.085911379450607,-0.38006605132325133,-0.472948923446507,-0.04771675983450011,-0.5374227724044914,0.8174250125973053,0.0009820065237799954,0.0007141661937773808,4.83195775046548e-05,1.4767049466511703e-06
-0.39625196913652905,-0.010101182536621123,-0.31014271251268916,-0.4451424546234806,-0.1728637611993512,-0.01787963240470891,-0.21063986030783166,-0.5827739066985214,0.9430929001955822,0.00044883151333278347,0.0003687593211964901,0.0009781755779319611,1.2942606255924187e-06
-0.2896330432928053,-0.39677321685518724,-0.4528084162780566,-0.19822715928683765,-0.3446780109341603,-0.1505626634626931,-0.015341395257817482,-0.4037805184287873,0.8838817812716772,0.00027333787296066883,0.00016185932487655744,0.0010126921517255591,1.1264574280107004e-06
-0.2710038795477923,-0.0036129432808166273,-0.24005417688242353,-0.2788811150784807,-0.17748900495200354,0.017450182722368535,-0.2154135627097586,-0.44649350226020446,0.8645264015596149,0.003738871839537406,0.0013920056952320553,0.0034194038007750597,2.7609164840799223e-05
-0.006549289032362016,-0.26077652755927005,-0.10598100043968844,-0.2413401983464381,-0.22475767669767938,-0.09139143562882007,-0.03085700999954751,-0.434763129549677,0.7267982007514472,3.413072114760612e-05,0.00014180089803360438,3.625244709842851e-05,2.258664072981668e-08
-0.28437895833505117,-0.11806854266986072,-0.13020570344533006,-0.015328962961043302,-0.4402350306939293,-0.12091213912031912,-0.09588970485108074,-0.4901403831109631,0.8130196844480739,0.000260799227704674,0.0005984824130937505,0.000524548007351658,7.01348047970468e-07
-0.017739557115228843,0.0033216187608161585,-0.49235272141800795,-0.05090715307230059,0.010221420834499062,-0.002250706602298924,-0.10308884627718057,-0.5274450062422047,1.0267866405043995,0.0007803748685661887,0.0018811504511302573,0.0010521185300575561,5.254665356567738e-06
-0.4226427136391011,0.0057669831879365585,-0.037233511025329236,-0.07236560967760336,-0.25040627961992723,-0.379166081787562,-0.19753634537119563,-0.5126294086027033,0.9664884856582244,0.003904567517603703,0.002170713244755154,0.0013747637746272124,2.1847618926508653e-05
-0.08302209906647989,-0.019764316912595836,-0.3616122584080078,-0.21975410803646278,-0.2697685289332436,-0.015870995689799383,-0.03676372234183161,-0.48775489650941334,0.8914426110174066,6.652286532020026e-05,9.487350925137874e-05,5.383384355059277e-05,1.632435707951065e-08
-0.478934430182014,-0.11935677825858837,-0.18052591158652176,-0.485250010140969,-0.12600571813009503,-0.4916843006477426,-0.22324987229798682,-0.5878044817678276,0.8775326493269784,0.00033759589828676246,0.002154745829277607,0.001093604126661701,5.952870565180789e-06
-0.10586547877465735,-0.23336546390371943,-0.016865805185556804,-0.46563710170348116,-0.06251501460156073,-0.4653211954411073,-0.3015072331091958,-0.4445257371841023,0.794506477827632,0.0013306013719146974,0.0009739973522349923,0.0032955636681767874,1.3579910744108894e-05
-0.3209588110218549,-0.27624465938712667,0.002352282007716533,-0.20763944204120233,-0.36539041155111524,-0.37432862867094063,-0.17763719097598626,-0.48157764465182684,0.8562795101685546,0.002221733329032047,0.0023854813917274205,0.002195808785908715,1.5448196679883516e-05
-0.0012796257973300418,-0.30790970623232594,-0.21264201452893067,-0.19115941516115248,-0.05888857169696876,-0.4243537601430035,-0.22224534753302147,-0.5130750902326139,1.0016466089451748,0.0005223100119423096,0.00014339991028082356,0.0011575148148598327,1.6332118294637161e-06
-0.03817847325722645,-0.3825478972229913,-0.4352315529656526,-0.3500680063560596,-0.19521600629737895,-0.21187293886990072,-0.05408295172102493,-0.5532259589493088,0.972294380913515,0.000310819217892552,0.00012170116771799592,0.00014851308383016188,1.3347589650400614e-07
-0.07895039652535557,-0.20855250495678335,-0.3500209684957706,-0.2852939018059358,-0.07457709509512656,-0.17421663954172817,-0.21779775578329436,-0.49688043391892145,0.8731287993086576,0.0006011644425294312,0.0007035453028660814,0.0015480100839234364,3.252709900075292e-06
-0.2886146248909741,-0.026821339935605593,-0.4776052179445338,-0.07219273430561896,-0.2840003005669632,-0.06850192765538654,-0.1312556323730204,-0.5357160359576435,1.010628021953251,0.0007839155396674945,0.0010586266061646487,0.0007260689456450982,2.262389978442046e-06
-0.24579823564659858,0.007760407406743219,-0.09664058218704924,-0.33939417138598427,-0.35968487153958395,-0.05117749382155473,-0.17597218169767098,-0.4231170580879838,0.7490343436989698,0.0008612457810995902,0.0009209530995135771,0.0007654666876848678,2.175838156920751e-06
-0.009223257990112754,-0.43405510682415116,-0.050315286391597436,-0.469078641167824,-0.3019993356783375,-0.27651748818714017,-0.11436924695275433,-0.4824018541503705,0.7813042547772219,0.0006696238166230306,0.0003550680533380565,0.0009151753105929629,1.4120152274089971e-06
-0.49482362838020816,-0.3101759979656993,-0.4591123806738673,-0.16064042030494802,-0.35759846872823026,-0.1346209232569111,-0.1694517417162987,-0.4277400293369678,0.9394003618100872,0.0005941038193233019,0.0001727338320516354,0.0015105484909572226,2.664553068402919e-06
-0.04234897692188372,-0.0775855929821479,-0.15269750910289737,-0.0016249114754650074,-0.01862841984850222,-0.11091077828308787,-0.07493376764284164,-0.23391123605137257,1.0068832082031414,0.004398811619257262,0.0037738794776967324,0.012423587928709255,0.00018793724699626356
-0.04172027017640123,-0.23443261711730445,-0.32096621989959084,0.017357021043677312,-0.3357093564087959,-0.40498956295818755,-0.031325255619913596,-0.33467370172675465,0.9488740261558792,0.0005462045024240634,0.0006009664155329111,0.0038115099587004413,1.5187108156339438e-05
-0.05243526703520757,-0.3714836950325041,-0.42655179041146357,-0.15156783835623328,-0.12839836093952856,-0.4131324770332185,0.012278983715594136,-0.6160881621983312,0.9929246509566126,0.0003127637292199109,6.76916840198976e-05,0.0001823166327575648,1.3564266898105212e-07
-0.2943102179854645,-0.026667001567651505,-0.20807160087388404,-0.1992653242383382,-0.3990525180967873,-0.22646843071870493,-0.11977989069021501,-0.438128309896103,0.8746447857930466,0.0043920051910632816,0.0017442011907540412,0.0014445226985857309,2.4418593218884035e-05
0.00869817119687577,-0.19326758527310572,-0.3337655491330142,-0.4024959878215518,-0.15028615036322795,-0.39854415280246136,-0.17165951862735998,-0.43435647201157923,0.9494656056428156,0.0016720173787331445,0.0009358714590867194,0.007314462475772692,5.717285881220555e-05
-0.22781394175464165,-0.4537534670719386,0.010610200425887228,-0.20287428776299726,-0.4966673810145587,-0.09822241536279791,-0.040485636054787354,-0.49067853157847485,0.7937283528668625,0.00011451897184262576,7.855491844636686e-06,1.542997297907424e-05,1.3414387730148223e-08
-0.1996022958907132,-0.1868356282825946,0.00046000842467819325,-0.46242206192446406,-0.2400141316975184,-0.1130693107730229,-0.2822268861223324,-0.4311471062885243,0.6747032601305577,0.00055018570057968,0.0011489512008410953,0.0011798666300616622,3.0148784317696115e-06
-0.4078420949531774,-0.29820529947205,-0.4672943408034149,-0.12254195083659608,-0.45436069888506686,-0.29455231165385687,-0.18863006492510836,-0.49454754467940076,1.0753998793510953,0.0015931348379808394,0.0013140502835529214,0.0006699123880272751,4.713589367326154e-06
